KEY,IT,EN
TITLE_MAIN,Catalogo ricambi YOYO,YOYO Unique Spare Parts Catalogue
VIN_IDENT,Identificazione modello tramite VIN,Model identification via VIN
VIN_INSERT,Inserisci le ultime 6 cifre del VIN,Enter the last 6 digits of the VIN
VIN_BUTTON,Identifica,Identify
SEARCH_PARTS,Ricerca ricambi,Parts search
VISUAL_SEARCH,Ricerca visuale,Visual search
BACK_HOME,Torna alla pagina iniziale,Back to home
CATALOG_TITLE,Catalogo ricambi,Spare parts catalogue
SELECT_SINOTTICO,Seleziona un sinottico,Select a diagram
PARTS_LIST,Lista ricambi,Parts list
PRINT,Stampa,Print
EXPORT_CSV,Esporta CSV,Export CSV
EMPTY,Svuota,Clear
COL_CODE,Codice,Code
COL_DESC,Descrizione,Description
COL_QTY,Quantità,Qty
COL_MODELS,Modelli compatibili,Compatible models
COL_ACTIONS,Azioni,Actions
PARTS_CODE,Codice,Code
PARTS_DESC,Descrizione,Description
PARTS_QTY,Quantità,Qty
PARTS_MODELS,Modelli compatibili,Compatible models
PARTS_ADD,aggiungi,add
NO_PARTS_FOUND,nessun ricambio trovato,No part found
VIN_IDENTIFIED,Modello identificato:,Model identified:
VIN_INVALID,Inserisci un VIN valido,Enter a valid VIN
VIN_NOT_FOUND,VIN non trovato nei range,VIN not found in ranges
