codice,descrizione,quantita,modello
1108010Y0210,Electrical accelerator pedal,1,MY23 * * MY24
S18606002,Hexagon bolt with flange M6,3,MY23 * * MY24
2801100Y0210,Front auxiliary frame assy,1,MY23 MY22 MY22.5 *
2801100Y0211,Front auxiliary frame assy,1,MY23 * * *
S18510001,Hexagon bolt with flange,8,MY23 MY22 MY22.5 MY24
2904100Y0210,Front swing arm assembly,2,MY23 MY22 MY22.5 MY24
2906101Y0210,Front stabilizer bar,1,MY23 MY22 MY22.5 MY24
2906102-Y01,Stabilizer bar bushing,2,MY23 MY22 MY22.5 MY24
2906103Y0210,Stabilizer bar mounting bracket,2,MY23 MY22 MY22.5 MY24
2906105-Y01,Stabilizer bar end bushing,4,MY23 MY22 MY22.5 MY24
2906106Y0210,?12 large gasket,2,MY23 * * MY24
2906107Y0210,?16 large gasket,2,MY23 * * MY24
S33110001,Prevailing torque type all-metal hexagon nuts with flange,2,MY23 MY22 MY22.5 MY24
S33112001,Prevailing torque type all-metal hexagon nuts with flange,2,MY23 MY22 MY22.5 MY24
S18510006,Hexagon bolt with flange,2,MY23 MY22 MY22.5 MY24
2904101Y0210,Front left shock absorber assembly,1,MY23 * * MY24
2904102Y0210,Front right shock absorber assembly,1,MY23 * * MY24
3501101-Y01,Front left brake with steering knuckle assy,1,MY23 MY22 MY22.5 *
3501111-Y01,Front brake disc,2,MY23 MY22 MY22.5 *
3501112-Y01,Left steering knuckle,1,MY23 MY22 MY22.5 *
3501113-Y01,Left brake caliper assy,1,MY23 MY22 MY22.5 *
3501118-Y01,Gear ring component,2,MY23 MY22 MY22.5 *
3501119-Y01,Bearing limit bolts,2,MY23 MY22 MY22.5 *
3501120-Y01,Brake lining,4,MY23 MY22 MY22.5 *
3501115-Y01,Bracket mounting bolt,4,MY23 MY22 MY22.5 *
3501102-Y01,Front right brake with steering knuckle assy,1,MY23 MY22 MY22.5 *
3501122-Y01,Right steering knuckle,1,MY23 MY22 MY22.5 *
3501123-Y01,Right brake caliper assy,1,MY23 MY22 MY22.5 *
S18510005,Hexagon bolt with flange,2,MY23 MY22 MY22.5 MY24
S18512001,Hexagon bolt with flange,4,MY23 MY22 MY22.5 MY24
S32008002,Hexagon nut with flange,4,MY23 * MY22.5 MY24
2912100Y0210,Rear drive axle assy,1,MY23 * * *
2912111Y0210,Axle tube,1,MY23 * * *
2912112Y0210,Final drive assy,1,MY23 * * *
2912113-Y01,Brake caliper-left,1,MY23 MY22 MY22.5 *
2912114-Y01,Brake caliper-right,1,MY23 MY22 MY22.5 *
2912129-Y01,Mounting bolt bracket ,4,MY23 MY22 MY22.5 *
2912115-Y01,Brake lining,4,MY23 MY22 MY22.5 *
2912116-Y01,Rear brake disc,2,MY23 MY22 MY22.5 *
2912119Y0210,Nut filler plug,1,MY23 * * *
2912120Y0210,Nut?drain plug,1,MY23 * * *
2912121-Y01,Vent valve,1,MY23 MY22 MY22.5 *
2912123-Y01,Left halfaxle,1,MY23 MY22 MY22.5 *
2912124-Y01,Right halfaxle,1,MY23 MY22 MY22.5 *
2912125-Y01,Oil seal for half shaft,2,MY23 MY22 MY22.5 *
2912126Y0210,Oil seal input shaft,1,MY23 * * *
2912127-Y01,Circlip for hole,2,MY23 MY22 MY22.5 *
2912128-Y01,Mudguard,2,MY23 MY22 MY22.5 *
2912118-Y01,Locking nut brake disc,2,MY23 MY22 MY22.5 *
Q5004036,Locking pin,2,MY23 MY22 MY22.5 *
2914300Y0210,Thrust rod assy,2,MY23 * * *
S18512004,Hexagon bolt with flange,6,MY23 MY22 MY22.5 MY24
S18608003,Hexagon bolt with flange,2,MY23 * * MY24
2912017Y0210,Motor mounting bracket,1,MY23 * * MY24
2912130-Y01,Hexagon nut with flange,2,MY23 MY22 MY22.5 *
2912131-Y01,Hexagon bolt with flange,7,MY23 MY22 MY22.5 *
2915100Y0210,Rear shock absorber,2,MY23 * * MY24
S34012001,Hexagon nuts style 1,2,MY23 MY22 MY22.5 *
S40212002,Large gasket,2,MY23 MY22 MY22.5 MY24
S40312001,Spring washer,2,MY23 MY22 MY22.5 *
2912011Y0210,Rear coil spring,2,MY23 * * MY24
2912012Y0210,Upper mounting seat of rear spring,2,MY23 MY22 MY22.5 MY24
2912013Y0210,Rear buffer block,2,MY23 MY22 MY22.5 MY24
2914200Y0210,Rear balance bar,1,MY23 * * MY24
S18512003,Hexagon bolt with flange,1,MY23 MY22 MY22.5 MY24
