codice,descrizione,quantita,id,esploso
1108001-Y01,Sistema acceleratore,1,1,Y0205001
1108010-Y01,Pedale acceleratore elettrico,1,1,Y0205001
Q1860625,Bullone esagonale con flangia,3,2,Y0205001
2101000Y0205,Assieme batteria di potenza,1,1,Y0205002
2101000-Y0201,Assieme batteria di potenza (con blocco batteria) (versione ENI),1,1,Y0205002
2101010Y0205,Scatola batteria di potenza,1,1,Y0205002
2101010Y0201,Scatola batteria di potenza,1,1,Y0205002
2101013-Y01,Boccola anti?attrito,6,01-feb,Y0205002
2101017-Y01,Bullone antifurto scatola batteria,2,01-mar,Y0205002
2101018-Y01,Piastra copertura scatola batteria,1,01-apr,Y0205002
2101018Y0201,Piastra copertura scatola batteria (con blocco batteria) (versione ENI),1,Y0205002,
2101019-Y01,Cablaggio positivo batteria,1,01-mag,Y0205002
210101AY0205,Cablaggio negativo batteria,1,01-giu,Y0205002
210101B-Y01,Fast?plug scatola batteria,1,01-lug,Y0205002
210101CY0205,Cablaggio comunicazione scatola batteria,1,01-ago,Y0205002
210101H-Y01,Cavo collegamento moduli,2,01-set,Y0205002
Q174B0614T1F,Bullone M6 14 con rondella elastica e rondella piana,6,01-ott,Y0205002
Q174B0425T1F,Bullone M4 25 con rondella elastica e rondella piana,12,01-nov,Y0205002
Q174B0410T1F,Bullone M4 10 con rondella elastica e rondella piana,8,01-dic,Y0205002
5306142-Y01,Striscia in spugna (W12*T5),gen-13,Y0205002,
Q1461025,Bullone M10 25 con rondella elastica e rondella piana,4,Y0205002,
2101020Y0205,Modulo batteria di potenza,3,3,Y0205003
2101011Y0205,Unit  campionamento batteria (BSU),1,03-gen,Y0205003
2109013Y0205,Staffa sinistra BSU,1,03-feb,Y0205003
2109014Y0205,Staffa destra BSU,1,03-mar,Y0205003
2101030-Y01,Presa speciale modalit  switching,1,Y0205003,
2101030Y0201,Assieme scatola batteria (versione ENI),1,Y0205003,
Q174B0530T1F,Bullone M5 30 con rondella elastica e rondella piana,4,Y0205003,
Q174B0310T1F,Bullone M3 10 con rondella elastica e rondella piana,3,Y0205003,
2109010Y0205,Scatola controllo sistema di potenza (ex HV box),1,4,Y0205004
2109011-Y01,Cassa HV box,1,04-gen,Y0205004
2109211-Y01,Coperchio HV box,1,04-feb,Y0205004
Q174B0410T1F,Bullone M4 10 con rondella elastica e rondella piana,8,04-mar,Y0205004
2109119Y0205,Splitter,1,04-apr,Y0205004
