codice,descrizione,quantita,id,esploso,
1108001-Y01,Sistema accelerazione,1,,Y01001,
1108010-Y01,Pedale acceleratore elettrico,1,1,Y01001,
Q1860625,Bullone esagonale con flangia,3,2,Y01001,
2101000-Y01,Assieme batteria di potenza,,,Y01002,
2101000-Y0201,Assieme batteria di potenza (con serratura batteria) (versione ENI),,,Y01002,
2101010-Y01,Scatola batteria di potenza,1,1,Y01002,
2101010Y0201,Scatola batteria di potenza,,,Y01002,
2101013-Y01,Boccola anti?attrito,6,01-feb,Y01002,
2101017-Y01,Bullone antifurto scatola batteria,2,01-mar,Y01002,
2101018-Y01,Piastra copertura scatola batteria,1,01-apr,Y01002,
2101018Y0201,Piastra copertura scatola batteria (con serratura batteria) (versione ENI),,,Y01002,
2101019-Y01,Cablaggio positivo batteria,1,01-mag,Y01002,
210101A-Y01,Cablaggio negativo batteria,1,01-giu,Y01002,
210101B-Y01,Fast?plug scatola batteria,1,01-lug,Y01002,
210101C-Y01,Cablaggio comunicazione scatola batteria,1,01-ago,Y01002,
210101H-Y01,Linea collegamento moduli,2,01-set,Y01002,
Q174B0614T1F,Bullone esagonale esterno M6 14 con rondella elastica e rondella piana,6,01-ott,Y01002,
Q174B0425T1F,Bullone esagonale esterno M4 25 con rondella elastica e rondella piana,12,01-nov,Y01002,
Q174B0410T1F,Bullone esagonale esterno M4 10 con rondella elastica e rondella piana,8,01-dic,Y01002,
5306142-Y01,Striscia spugna (W12*T5),,,gen-13,Y01002
Q1461025,Bullone esagonale M10 25 con rondella elastica e rondella piana,4,,Y01002,
2101020-Y01,Modulo batteria di potenza,3,3,Y01003,
2101011-Y01,Unit  campionamento batteria (BSU),1,03-gen,Y01003,
2109013-Y01,Staffa montaggio BSU sinistra,1,03-feb,Y01003,
2109014-Y01,Staffa montaggio BSU destra,1,03-mar,Y01003,
2101030-Y01,Presa speciale modalit  commutazione,1,,,
2101030Y0201,Assieme scatola batteria (versione ENI),1,,,
Q174B0530T1F,Bullone esagonale esterno M5 30 con rondella elastica e rondella piana,4,,,
Q174B0310T1F,Bullone esagonale esterno M3 10 con rondella elastica e rondella piana,3,,,
2109010-Y01,Scatola controllo sistema di potenza (ex HV box),1,4,Y01004,
2109011-Y01,Involucro HV box,1,04-gen,Y01004,
2109211-Y01,Coperchio HV box,1,04-feb,Y01004,
Q174B0410T1F,Bullone esagonale esterno M4 10 con rondella elastica e rondella piana,8,04-mar,Y01004,
2109012-Y01,Sensore corrente,1,04-apr,Y01004,
Q174B0416T1F,Bullone esagonale esterno M4 16 con rondella elastica e rondella piana,1,04-mag,Y01004,
Q304B04,Dado esagonale esterno,1,04-giu,Y01004,
2101012-Y01,Scatola campionamento HV,1,04-lug,Y01004,
Q174B0414T1F,Bullone esagonale esterno M4 14 con rondella elastica e rondella piana,4,04-ago,Y01004,
Q32004,Dado esagonale con flangia,4,04-set,Y01004,
2109015-Y01,Rel  150A,1,04-ott,Y01004,
Q174B0620T1F,Bullone esagonale esterno M6 20 con rondella elastica e rondella piana,2,04-nov,Y01004,
2109016-Y01,Rel  50A,1,04-dic,Y01004,
Q174B0620T1F,Bullone esagonale esterno M6 20 con rondella elastica e rondella piana,2,04-ott,Y01004,
S32006003,Dado esagonale con flangia,2,apr-13,Y01004,
2109017-Y01,Rel  20A,2,apr-14,Y01004,
Q174B0416T1F,Bullone esagonale esterno M4 16 con rondella elastica e rondella piana,4,04-mag,Y01004,
Q32004,Dado esagonale con flangia,4,apr-15,Y01004,
2109018-Y01,Fusibile ritardato 300A 750V,1,apr-16,Y01004,
Q174B0818T1F,Bullone esagonale esterno M8 18 con rondella elastica e rondella piana,2,apr-17,Y01004,
2109119-Y01,Fusibile ritardato 50A 750V,1,apr-18,Y01004,
Q174B0614T1F,Bullone esagonale esterno M6 14 con rondella elastica e rondella piana,2,apr-19,Y01004,
2109111-Y01,Fusibile ritardato 20A 750V,1,apr-20,Y01004,
Q174B0614T1F,Bullone esagonale esterno M6 14 con rondella elastica e rondella piana,2,apr-19,Y01004,
2109112-Y01,Resistenza precarica 75? 100W,1,apr-21,Y01004,
Q174B0414T1F,Bullone esagonale esterno M4 14 con rondella elastica e rondella piana,6,04-giu,Y01004,
Q32004,Dado esagonale con flangia,6,04-set,Y01004,
Q174B0614T1F,Bullone esagonale esterno M6 14 con rondella elastica e rondella piana,2,apr-19,Y01004,
2109113-Y01,Cablaggio comunicazione scatola alta tensione,1,apr-23,Y01004,
S14606005,Bullone esagonale con rondella elastica e rondella piana M6 16,4,,Y01004,
2103000-Y01,Assieme motore di trazione,1,,Y01005,
2103010-Y01,Motore (7.5KW),1,1,Y01005,
Q1841255,Bullone esagonale con flangia,4,2,Y01005,
S40312001,Rondella elastica,4,3,Y01005,
Q401B12,Rondella piana,4,4,Y01005,
S34012001,Dado esagonale tipo 1,4,5,Y01005,
2103020-Y01,Piastra pressacavo linea di fase,1,6,Y01005,
S32006003,Dado esagonale con flangia,2,7,Y01005,
2105000-Y01,Assieme cablaggio alta tensione,1,,Y01006,
2105010-Y01,Cablaggio positivo controller motore,1,1,Y01006,
2105020-Y01,Cablaggio negativo controller motore,1,2,Y01006,
2105030-Y01,Cablaggio alta tensione sistema ausiliario,1,3,Y01006,
2105040-Y01,Clip doppio tubo ( 34),2,4,Y01006,
S32006003,Dado esagonale con flangia,2,5,Y01006,
