Y01001,Accelerating system
Y01002,Power battery assembly (I)
Y01003,Power battery assembly (II)
Y01004,Power battery assembly (III)
Y01005,Drive motor assembly
Y01006,HV wiring harness assembly
Y01007,Charging system
Y01008,DCDC converter assembly
Y01009,Vehicle controller assembly
Y010010,Motor controller assembly
Y010011,Vehicle electronics
Y010012,Vehicle electrical equipment
Y010013,Central screen assembly
Y010014,LV wiring harness assembly
Y010015,Wiper washing system
Y010016,Air conditioning system
Y010017,Audio-visual and information communication equipment
Y010018,Front suspension system (I)
Y010019,Front suspension system (II)
Y010020,Rear suspension system
Y010021,Wheel system
Y010022,Steering system
Y010023,Brake system (I)
Y010024,Brake system (II)
Y010025,Brake system (III)
Y010026,Body-in-white assembly
Y010027,Access panel assembly
Y010028,Battery bracket clamp assembly
Y010029,Left & right tube beam mounting bracket assembly
Y010030,Condenser mounting bracket
Y010031,Left & right door assembly
Y010032,Back door assembly
Y010033,Rear bumper middle mounting bracket assembly
Y010034,Rear brake hose bracket two-component assembly
Y010035,Body-in-white assembly
Y010036,Body-in-white assembly
Y010037,Dashboard beam assembly
Y010038,Plug system
Y010039,Back door support system
Y010040,Guide rail rubber coating assembly
Y010041,Lock mechanism system
Y010042,Sealing system
Y010043,Window lifting system
Y010044,Door outer handle system
Y010045,Outer rearview mirror system
Y010046,Rear bumper hinge system
Y010047,Retroreflector system
Y010048,Front flow pipe
Y010049,Welcome pedal assembly
Y010050,Sun visor system
Y010051,Seat belt system
Y010052,Inner Rear-view Mirror System
Y010053,Auxiliary dashboard accessories assy
Y010054,Ventilating grille assembly
Y010055,Inner Handle System
Y010056,Seat system
Y010057,On-vehicle tools
Y010058,Door map bag pull rope assembly
Y010059,Rear storage desk assembly 
Y010060,Door waterproof membrane assembly
Y010061,Lifter rubber block assembly
Y010062,Car label system
Y010063,Lighting system
Y010064,Roof cover system
Y010065,Side body outer trim system (I)
Y010066,Side body outer trim system (II)
Y010067,Fender system
Y010068,Front windshield lower trim system
Y010069,Cabin cover trim system
Y010070,Front charging port cover system
Y010071,Front bumper system
Y010072,Rear bumper system
Y010073,Instrument panel system (I)
Y010074,Dashboard system (II)
Y010075,Dashboard system (III)
Y010076, Combination switch cover system
Y010077,Auxiliary Dashboard System
Y010078,Side internal trim system
Y010079,Inner trim ceiling system
Y010080,Front door system (I)
Y010081,Front door system (II)
Y010082,Tailgate system
Y010083,Bottom guard system
Y010084,Wheel guard system
Y010085,Steel wheel decorative cover assembly (optional)
Y010086,Windshield system
Y010087,Carpet system
