codice,descrizione,quantita,id,esploso,
1108010Y0210,Electrical accelerator pedal,1,1,Y02100001,
S18606002,Hexagon bolt with flange M6,3,2,Y02100001,
2801100Y0210,Front auxiliary frame assy,1,1,Y02100002,
2801100Y0211,Front auxiliary frame assy,1,1,Y02100002,
S18510001,Hexagon bolt with flange,8,2,Y02100002,
2904100Y0210,Front swing arm assembly,2,3,Y02100002,
2906101Y0210,Front stabilizer bar,1,4,Y02100002,
2906102-Y01,Stabilizer bar bushing,2,5,Y02100002,
2906103Y0210,Stabilizer bar mounting bracket,2,6,Y02100002,
2906105-Y01,Stabilizer bar end bushing,4,7,Y02100002,
2906106Y0210,Φ12 large gasket,2,8,Y02100002,
2906107Y0210,Φ16 large gasket,2,9,Y02100002,
S18510001,Hexagon bolt with flange,4,10,Y02100002,
S33110001,Prevailing torque type all-metal hexagon nuts with flange,2,11,Y02100002,
S33112001,Prevailing torque type all-metal hexagon nuts with flange,2,12,Y02100002,
S18510006,Hexagon bolt with flange,2,13,Y02100002,
S33110001,Prevailing torque type all-metal hexagon nuts with flange,4,14,Y02100002,
2904101Y0210,Front left shock absorber assembly,1,1,Y02100003,
2904102Y0210,Front right shock absorber assembly,1,2,Y02100003,
3501101-Y01,Front left brake with steering knuckle assy,1,3,Y02100003,
3501111-Y01,Front brake disc,2,4,Y02100003,
3501112-Y01,Left steering knuckle,1,5,Y02100003,
3501113-Y01,Left brake caliper assy,1,6,Y02100003,
3501118-Y01,Gear ring component,2,7,Y02100003,
3501119-Y01,Bearing limit bolts,2,8,Y02100003,
3501120-Y01,Brake lining,4,9,Y02100003,
3501115-Y01,Bracket mounting bolt,4,10,Y02100003,
3501102-Y01,Front right brake with steering knuckle assy,1,11,Y02100003,
3501122-Y01,Right steering knuckle,1,12,Y02100003,
3501123-Y01,Right brake caliper assy,1,13,Y02100003,
S18510005,Hexagon bolt with flange,2,14,Y02100003,
S18512001,Hexagon bolt with flange,4,15,Y02100003,
S33112001,Prevailing torque type all-metal hexagon nuts with flange,4,16,Y02100003,
S33110001,Prevailing torque type all-metal hexagon nuts with flange,2,17,Y02100003,
S32008002,Hexagon nut with flange,4,18,Y02100003,
2912100Y0210,Rear drive axle assy,1,1,Y02100004,
2912111Y0210,Axle tube,1,2,Y02100004,
2912112Y0210,Final drive assy,1,3,Y02100004,
2912113-Y01,Brake caliper-left,1,4,Y02100004,
2912114-Y01,Brake caliper-right,1,5,Y02100004,
2912129-Y01,Mounting bolt bracket ,4,6,Y02100004,
2912115-Y01,Brake lining,4,7,Y02100004,
2912116-Y01,Rear brake disc,2,8,Y02100004,
S32008002,Hexagon nut with flange,2,9,Y02100004,
2912119Y0210,Nut filler plug,1,10,Y02100004,
2912132Y0210,Gasket filler plug,1,,Y02100004,
2912120Y0210,Nut drain plug,1,11,Y02100004,
2912133Y0210,Gasket drain plug,1,,Y02100004,
2912121-Y01,Vent valve,1,12,Y02100004,
2912123-Y01,Left halfaxle,1,13,Y02100004,
2912124-Y01,Right halfaxle,1,14,Y02100004,
2912125-Y01,Oil seal for half shaft,2,15,Y02100004,
2912126Y0210,Oil seal input shaft,1,16,Y02100004,
2912127-Y01,Circlip for hole,2,17,Y02100004,
2912128-Y01,Mudguard,2,18,Y02100004,
2912118-Y01,Locking nut brake disc,2,19,Y02100004,
Q5004036,Locking pin,2,20,Y02100004,
2914300Y0210,Thrust rod assy,2,21,Y02100004,
S18512004,Hexagon bolt with flange,6,22,Y02100004,
S33112001,Prevailing torque type all-metal hexagon nuts with flange,10,23,Y02100004,
S18608003,Hexagon bolt with flange,2,24,Y02100004,
2912017Y0210,Motor mounting bracket,1,25,Y02100004,
S18608003,Hexagon bolt with flange,2,26,Y02100004,
2912130-Y01,Hexagon nut with flange,2,27,Y02100004,
2912131-Y01,Hexagon bolt with flange,7,28,Y02100004,
2915100Y0210,Rear shock absorber,2,29,Y02100004,
S18512001,Hexagon bolt with flange,2,30,Y02100004,
S34012001,Hexagon nuts style 1,2,31,Y02100004,
S40212002,Large gasket,2,32,Y02100004,
S40312001,Spring washer,2,33,Y02100004,
2912011Y0210,Rear coil spring,2,34,Y02100004,
2912012Y0210,Upper mounting seat of rear spring,2,35,Y02100004,
2912013Y0210,Rear buffer block,2,36,Y02100004,
2914200Y0210,Rear balance bar,1,37,Y02100004,
S18512003,Hexagon bolt with flange,1,38,Y02100004,
