codice;descrizione;quantita;id;esploso
1108010Y0210;Pedale acceleratore elettrico;1;1;Y02100001
S18606002;Bullone esagonale con flangia M6;3;2;Y02100001
2801100Y0210;Assieme telaio ausiliario anteriore;1;1;Y02100002
2801100Y0211;Assieme telaio ausiliario anteriore;1;1;Y02100002
S18510001;Bullone esagonale con flangia;8;2;Y02100002
2904100Y0210;Assieme braccio oscillante anteriore;2;3;Y02100002
2906101Y0210;Barra stabilizzatrice anteriore;1;4;Y02100002
2906102-Y01;Boccola barra stabilizzatrice;2;5;Y02100002
2906103Y0210;Staffa fissaggio barra stabilizzatrice;2;6;Y02100002
2906105-Y01;Boccola terminale barra stabilizzatrice;4;7;Y02100002
2906106Y0210;Rondella grande Ø12;2;8;Y02100002
2906107Y0210;Rondella grande Ø16;2;9;Y02100002
S18510001;Bullone esagonale con flangia;4;10;Y02100002
S33110001;Dado esagonale interamente metallico a coppia prevalente con flangia;2;11;Y02100002
S33112001;Dado esagonale interamente metallico a coppia prevalente con flangia;2;12;Y02100002
S18510006;Bullone esagonale con flangia;2;13;Y02100002
S33110001;Dado esagonale interamente metallico a coppia prevalente con flangia;4;14;Y02100002
2904101Y0210;Assieme ammortizzatore anteriore sinistro;1;1;Y02100003
2904102Y0210;Assieme ammortizzatore anteriore destro;1;2;Y02100003
3501101-Y01;Freno anteriore sinistro con fusello sterzo;1;3;Y02100003
3501111-Y01;Disco freno anteriore;2;4;Y02100003
3501112-Y01;Fusello sterzo sinistro;1;5;Y02100003
3501113-Y01;Assieme pinza freno sinistra;1;6;Y02100003
3501118-Y01;Anello dentato;2;7;Y02100003
3501119-Y01;Bulloni limitatori cuscinetto;2;8;Y02100003
3501120-Y01;Pastiglie freno;4;9;Y02100003
3501115-Y01;Bullone fissaggio staffa;4;10;Y02100003
3501102-Y01;Freno anteriore destro con fusello sterzo;1;11;Y02100003
3501122-Y01;Fusello sterzo destro;1;12;Y02100003
3501123-Y01;Assieme pinza freno destra;1;13;Y02100003
S18510005;Bullone esagonale con flangia;2;14;Y02100003
S18512001;Bullone esagonale con flangia;4;15;Y02100003
S33112001;Dado esagonale interamente metallico a coppia prevalente con flangia;4;16;Y02100003
S33110001;Dado esagonale interamente metallico a coppia prevalente con flangia;2;17;Y02100003
S32008002;Dado esagonale con flangia;4;18;Y02100003
2912100Y0210;Assieme asse motrice posteriore;1;1;Y02100004
2912111Y0210;Tubo asse;1;2;Y02100004
2912112Y0210;Assieme riduttore finale;1;3;Y02100004
2912113-Y01;Pinza freno sinistra;1;4;Y02100004
2912114-Y01;Pinza freno destra;1;5;Y02100004
2912129-Y01;Bulloni staffa fissaggio;4;6;Y02100004
2912115-Y01;Pastiglie freno;4;7;Y02100004
2912116-Y01;Disco freno posteriore;2;8;Y02100004
S32008002;Dado esagonale con flangia;2;9;Y02100004
2912119Y0210;Dado tappo riempimento;1;10;Y02100004
2912132Y0210;Guarnizione tappo riempimento;1;;Y02100004
2912120Y0210;Dado tappo scarico;1;11;Y02100004
2912133Y0210;Guarnizione tappo scarico;1;;Y02100004
2912121-Y01;Valvola sfiato;1;12;Y02100004
2912123-Y01;Semiassi sinistro;1;13;Y02100004
2912124-Y01;Semiassi destro;1;14;Y02100004
2912125-Y01;Paraolio semiasse;2;15;Y02100004
2912126Y0210;Paraolio albero ingresso;1;16;Y02100004
2912127-Y01;Seeger per foro;2;17;Y02100004
2912128-Y01;Paraspruzzi;2;18;Y02100004
2912118-Y01;Dado bloccaggio disco freno;2;19;Y02100004
Q5004036;Spina di bloccaggio;2;20;Y02100004
2914300Y0210;Assieme barra di reazione;2;21;Y02100004
S18512004;Bullone esagonale con flangia;6;22;Y02100004
S33112001;Dado esagonale interamente metallico a coppia prevalente con flangia;10;23;Y02100004
S18608003;Bullone esagonale con flangia;2;24;Y02100004
2912017Y0210;Staffa montaggio motore;1;25;Y02100004
S18608003;Bullone esagonale con flangia;2;26;Y02100004
2912130-Y01;Dado esagonale con flangia;2;27;Y02100004
2912131-Y01;Bullone esagonale con flangia;7;28;Y02100004
2915100Y0210;Ammortizzatore posteriore;2;29;Y02100004
S18512001;Bullone esagonale con flangia;2;30;Y02100004
S34012001;Dado esagonale tipo 1;2;31;Y02100004
S40212002;Rondella grande;2;32;Y02100004
S40312001;Rondella elastica;2;33;Y02100004
2912011Y0210;Molla elicoidale posteriore;2;34;Y02100004
2912012Y0210;Sede superiore molla posteriore;2;35;Y02100004
2912013Y0210;Tampone posteriore;2;36;Y02100004
2914200Y0210;Barra stabilizzatrice posteriore;1;37;Y02100004
S18512003;Bullone esagonale con flangia;1;38;Y02100004
Q218B0810;Viti testa cilindrica esagonale incassata;8;39;Y02100004
2906108Y0210;Rondella grande Ø12;1;40;Y02100004
3100100-Y01;"Assieme ruota in acciaio 14""";4;1;Y02100005
3100110-Y01;"Assieme ruota in alluminio 15""";;;Y02100005
3100101-Y01;Pneumatico (155/65-R14);4;2;Y02100005
3100111-Y01;Pneumatico (155/60-R15);;;Y02100005
3100106-Y01;"Ruota in acciaio 14""";4;3;Y02100005
3100105-Y01;"Ruota in alluminio 15"" (chiara)";;;Y02100005
3100102-Y01;Valvola gonfiaggio;1;4;Y02100005
3100113-Y01;Valvola gonfiaggio (ruota in alluminio);;;Y02100005
3106107Y0240;Dado ruota (ruota in acciaio);16;5;Y02100005
3106106Y0240;Dado ruota (ruota in alluminio);;;Y02100005
