codice,descrizione,quantita,id,esploso
1108010Y0210,Electrical accelerator pedal,1,1,Y02100001
S18606002,Hexagon bolt with flange M6*20 Black Dacromet,3,2,Y02100001
3508100Y0230,Parking control handle,1,1,Y02100002
3508200Y0230,Front parking cable,1,2,Y02100002
3508300Y0230,Left parking cable,1,3,Y02100002
3508400Y0230,Right parking cable,1,4,Y02100002
S99035001,Universal pipe clamp ?20?10,1,5,Y02100002
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,2,6,Y02100002
S32008002,Hexagon flange nut M8 Silver Dacromet,2,7,Y02100002
3540102Y0240-Z001,Vacuum tank with sensor assembly,1,1,Y02100003
3540102Y0211,Vacuum tank,1,2,Y02100003
3540106Y0210,Vacuum sensor,1,3,Y02100003
3540103Y0240-Z001,Electronic vacuum pump with exhaust pipe assembly,1,4,Y02100003
3540103Y0211,Electronic vacuum pump,1,5,Y02100003
3540104Y0240,Vent hose electronic vacuum pump,1,6,Y02100003
3540400Y0240,Vacuum hose,1,7,Y02100003
S18406002,Hexagon flange face bolts M6*45 Silver Dacromet,2,8,Y02100003
S32008002,Hexagon flange nut M8 Silver Dacromet,2,9,Y02100003
3506011Y0240,First out of the oil hard tube,1,1,Y02100004
3506012Y0240,The second oil out of the hard tube,1,2,Y02100004
3506013Y0240,Front left brake pipe,1,3,Y02100004
3506014Y0240,Front right brake pipe,1,4,Y02100004
3506015Y0240,Rear left brake hard tube I,1,5,Y02100004
3506016Y0240,Rear right brake hard tube I,1,6,Y02100004
3506100Y0230,Front left brake hose,1,7,Y02100004
3506105Y0210,Spring retainer ring brake hose,2,8,Y02100004
3506107Y0210,Sealing washer,4,9,Y02100004
3506106Y0210,Punched bolts,2,10,Y02100004
3506116Y0240,Single hole pipe clip,2,11,Y02100004
3506200Y0230,Front right brake hose,1,12,Y02100004
3550300Y0240,Front left wheel speed sensor,1,13,Y02100004
3550400Y0240,Front right wheel speed sensor,1,14,Y02100004
3506113Y0240,Double-hole pipe clip,2,15,Y02100004
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,2,16,Y02100004
3506300Y0240,Rear brake hose assembly,2,1,Y02100005
3506020Y0230,Rear brake hard tube III,2,2,Y02100005
3506017Y0240,Rear left brake hard tube II,1,3,Y02100005
3506018Y0240,Rear right brake hard tube II,5,4,Y02100005
3506105Y0210,Spring retainer ring brake hose,4,5,Y02100005
3506113Y0240,Double-hole pipe clip,1,6,Y02100005
3506116Y0240,Single hole pipe clip,3,7,Y02100005
3550500Y0240B,Rear left wheel speed sensor,1,8,Y02100005
3550600Y0240B,Rear right wheel speed sensor,1,9,Y02100005
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,2,10,Y02100005
3540101Y0210,Vacuum booster,1,1,Y02100006
3550100Y0230,ABS controller assembly,1,2,Y02100006
3569100Y0240,Brake pedal assy,1,3,Y02100006
S18608003,Hexagon flange bolt M8*20 Silver Dacromet T,2,4,Y02100006
S32008002,Hexagon flange nut M8 Silver Dacromet,4,5,Y02100006
S50108001,Lock pin ?8,1,6,Y02100006
S51008001,Pin shaft ?8*25,1,7,Y02100006
3540113Y0210,Brake fluid tank cap,1,8,Y02100006
2915100Y0210,Rear shock absorber,2,1,Y02100007
2912011Y0210,Rear coil spring,2,2,Y02100007
2914300Y0240,Thrust rod assy,2,3,Y02100007
2914200Y0210,Rear balance bar,1,4,Y02100007
2912013Y0210,Rear buffer block,2,5,Y02100007
2912012Y0210,Upper mounting base of rear spring,2,6,Y02100007
S18512004,Hexagon flange bolts M12*85 Silver Dacromet T,4,7,Y02100007
S18512001,Hexagon flange bolts M12*55 Silver Dacromet T,2,8,Y02100007
S18512003,Hexagon flange bolts M12*75 Silver Dacromet T,1,9,Y02100007
2906106Y0210,?12 large gasket,1,10,Y02100007
S40212002,Large washer ?12 black Dacromet,2,11,Y02100007
S33112001,All metal hexagonal flange face lock nut M12 silver Dacromet T13,10,12,Y02100007
S18512901,Hexagon flange bolt M12*90*P1.25 Silver Dacromet 10.9 class,2,13,Y02100007
3100101Y0230,Tire (155/70-R13),4,1,Y02100008
3100106Y0230,13 inch steel wheel,4,2,Y02100008
3100102Y0240,Inflating valve (TR418),4,3,Y02100008
3106107Y0240,Wheel nut (steel wheel),16,4,Y02100008
5306163Y0230,Tire tag -13 inches,1,5,Y02100008
3100105-Y01,15 aluminum wheel (light color),4,1,Y02100009
3100101Y0241,Tire  (155/60-R15),4,2,Y02100009
3100102Y0241,Inflating valve (TR413),4,3,Y02100009
3106106Y0240,Wheel nut?aluminum wheel?,16,4,Y02100009
3100104-Y01,Trim cap of wheel rim,4,5,Y02100009
5306164Y0210,Tire label - 15 ,1,6,Y02100009
Z3400104Y0240,Steering wheel with switch assembly,1,1,Y02100010
3400104Y0240,Steering wheel assembly,1,2,Y02100010
3400135Y0230,Horn hood,1,3,Y02100010
3400106Y0210,Electric steering column assembly,1,1,Y02100011
3400102Y0230,steering lower shaft assy,1,2,Y02100011
3400108Y0210,Lower shaft shield steering column,1,3,Y02100011
Q32312F61,Steering wheel nut,1,4,Y02100011
3400161Y0210,Steering column and motor,1,5,Y02100011
3400162Y0210,Universal joint steering column,1,6,Y02100011
Q1420830T13F61,Hexagon head bolt and spring washer assembly,1,7,Y02100011
3400166Y0210,Hexagon head bolt spring washer and plain washer assy,2,8,Y02100011
3400165Y0210,EPS Controller bracket,1,9,Y02100011
3400164Y0210,EPS Controller,1,10,Y02100011
S32008002,Hexagon flange nut M8 Silver Dacromet,3,11,Y02100011
S18608006,Hexagon flange bolt M8*70 color zinc T,1,12,Y02100011
Q1420830T13F61,Hexagon head bolt and spring washer assembly,2,13,Y02100011
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,2,14,Y02100011
3400101Y0230,Steering gear with tie rod assembly,1,1,Y02100012
S33112001,All metal hexagonal flange face lock nut M12 silver Dacromet T13,2,2,Y02100012
S50032002,Split pin,2,3,Y02100012
Q381B12,Type I hexagon slotted nut,2,4,Y02100012
3400113Y0210,Steering wheel ball head,2,5,Y02100012
3400111Y0230,Steering gear body with inner tie rod,1,6,Y02100012
3400116Y0210,Dust cover,2,7,Y02100012
16850006,Dust cover clamp,2,8,Y02100012
16812004,Dust cover tube collar,2,9,Y02100012
S18512002,Hexagon flange bolts M12*65 Silver Dacromet T,2,10,Y02100012
3400115Y0210,Sealant sleeve,1,11,Y02100012
3400114Y0210,Sealed base,1,12,Y02100012
2801100Y0240,Front auxiliary frame assy,1,1,Y02100013
2904100Y0210,Front swing arm assembly,2,2,Y02100013
2906101Y0210,Front stabilizer bar,1,3,Y02100013
2906102-Y01,Stabilizer rod bushing,2,4,Y02100013
2906103Y0210,Stabilizer rod mounting bracket,2,5,Y02100013
2906105-Y01,Stabilizer rod end bushing,4,6,Y02100013
2906106Y0210,?12 large gasket,2,7,Y02100013
2906107Y0210,?16 large gasket,2,8,Y02100013
S18510001,Hexagon flange bolts M10*25 Silver Dacromet T,10,9,Y02100013
S33110001,All metal hexagonal flange face lock nut M10 Silver Dacromet T13,4,10,Y02100013
S18510006,Hexagon flange bolts M10*75 Silver Dacromet T,2,11,Y02100013
S33112001,All metal hexagonal flange face lock nut M12 silver Dacromet T13,2,12,Y02100013
3501102Y0230,Front right brake with steering knuckle assy,1,1,Y02100014
3501101Y0230,Front left brake with steering knuckle assy,1,2,Y02100014
3501112Y0230,Left steering knuckle belt intermediate shaft,1,3,Y02100014
3501113Y0230,Left brake caliper assy,1,4,Y02100014
3501122Y0230,Right steering knuckle with intermediate shaft,1,5,Y02100014
3501123Y0230,Right brake caliper assy,1,6,Y02100014
3501114Y0230,Wheel hub unit with ABS gear ring,2,7,Y02100014
3501111Y0230,Brake disc,2,8,Y02100014
3501115Y0230,Front outer Brake lining,2,9,Y02100014
3501117Y0240,Caliper bracket mounting bolt (with flange),4,10,Y02100014
3501118Y0240,Center nut,2,11,Y02100014
3501120Y0240,End cover,2,12,Y02100014
S18510005,Hexagon flange bolts M10*50 Silver Dacromet T,2,13,Y02100014
3501116Y0230,Front left inner Brake lining,1,14,Y02100014
3501126Y0230,Front right inner Brake lining,1,15,Y02100014
S33110001,All metal hexagonal flange face lock nut M10 Silver Dacromet T13,2,16,Y02100014
2904101Y0210,Front left shock absorber assembly,1,1,Y02100015
2904102Y0210,Front right shock absorber assembly,1,2,Y02100015
S33112001,All metal hexagonal flange face lock nut M12 silver Dacromet T13,4,3,Y02100015
S18512001,Hexagon flange bolts M12*55 Silver Dacromet T,4,4,Y02100015
S32008002,Hexagon flange nut M8 Silver Dacromet,4,5,Y02100015
Z2912100Y0230,Rear drive axle with parking cable assembly,1,1,Y02100016
2912101Y0230,Brake drum,2,1,Y02100017
2912102Y0230,Right brake assembly,1,2,Y02100017
2912103Y0230,Shaft assembly,2,3,Y02100017
2912104Y0230,Oil seal for half shaft,2,4,Y02100017
2912105Y0230,Rear axle housing assembly,1,5,Y02100017
