codice,descrizione,quantita,id,esploso
1108010Y0230,Pedale acceleratore elettrico,1,1,Y02300001
S18606002,Bullone esagonale con flangia M6*20 zincatura nera,3,2,Y02300001
3508100Y0230,Leva comando freno di stazionamento,1,1,Y02300002
3508200Y0230,Cavo freno di stazionamento anteriore,1,2,Y02300002
3508300Y0230,Cavo freno di stazionamento sinistro,1,3,Y02300002
3508400Y0230,Cavo freno di stazionamento destro,1,4,Y02300002
S99035001,Morsetto universale tubo Ø20–Ø10,1,5,Y02300002
S18606003,Bulloni flangiati esagonali M6*16*P1 zincatura nera classe 8.8,2,6,Y02300002
S32008002,Dado esagonale flangiato M8 zincatura argento,2,7,Y02300002
3540102Y0240-Z001,Serbatoio del vuoto con sensore assemblato,1,1,Y02300003
3540102Y0211,Serbatoio del vuoto,1,2,Y02300003
3540106Y0230,Sensore del vuoto,1,3,Y02300003
3540103Y0240-Z001,Pompa del vuoto elettronica con tubo di scarico assy,1,4,Y02300003
3540103Y0211,Pompa del vuoto elettronica,1,5,Y02300003
3540104Y0240,Tubo di sfiato pompa del vuoto elettronica,1,6,Y02300003
3540400Y0240,Tubo del vuoto,1,7,Y02300003
S18406002,Bulloni flangiati esagonali M6*45 zincatura argento,2,8,Y02300003
S32008002,Dado esagonale flangiato M8 zincatura argento,2,9,Y02300003
3506011Y0240,Primo tubo rigido uscita olio,1,1,Y02300004
3506012Y0240,Secondo tubo rigido uscita olio,1,2,Y02300004
3506013Y0240,Tubo freno anteriore sinistro,1,3,Y02300004
3506014Y0240,Tubo freno anteriore destro,1,4,Y02300004
3506015Y0240,Tubo freno posteriore sinistro rigido I,1,5,Y02300004
3506016Y0240,Tubo freno posteriore destro rigido I,1,6,Y02300004
3506100Y0230,Tubo flessibile freno anteriore sinistro,1,7,Y02300004
3506105Y0230,Anello di ritegno molla tubo freno,2,8,Y02300004
3506107Y0230,Rondella di tenuta,4,9,Y02300004
3506106Y0230,Bulloni punzonati,2,10,Y02300004
3506116Y0240,Clip tubo foro singolo,2,11,Y02300004
3506200Y0230,Tubo flessibile freno anteriore destro,1,12,Y02300004
3550300Y0240,Sensore velocità ruota anteriore sinistra,1,13,Y02300004
3550400Y0240,Sensore velocità ruota anteriore destra,1,14,Y02300004
3506113Y0240,Clip tubo doppio foro,2,15,Y02300004
S18606003,Bulloni flangiati esagonali M6*16*P1 zincatura nera classe 8.8,2,16,Y02300004
3506300Y0240,Assieme tubo flessibile freno posteriore,2,1,Y02300005
3506020Y0230,Tubo freno posteriore rigido III,2,2,Y02300005
3506017Y0240,Tubo freno posteriore sinistro rigido II,1,3,Y02300005
3506018Y0240,Tubo freno posteriore destro rigido II,5,4,Y02300005
3506105Y0230,Anello di ritegno molla tubo freno,4,5,Y02300005
3506113Y0240,Clip tubo doppio foro,1,6,Y02300005
3506116Y0240,Clip tubo foro singolo,3,7,Y02300005
3550500Y0240B,Sensore velocità ruota posteriore sinistra,1,8,Y02300005
3550600Y0240B,Sensore velocità ruota posteriore destra,1,9,Y02300005
S18606003,Bulloni flangiati esagonali M6*16*P1 zincatura nera classe 8.8,2,10,Y02300005
3540101Y0230,Servofreno a depressione,1,1,Y02300006
3550100Y0230,Centralina ABS assy,1,2,Y02300006
3569100Y0240,Pedale freno assy,1,3,Y02300006
S18608003,Bullone flangiato esagonale M8*20 zincatura argento,2,4,Y02300006
S32008002,Dado esagonale flangiato M8 zincatura argento,4,5,Y02300006
