Part Number,Part Name,Model
1108010Y0210,Electrical accelerator pedal,MY23 MY24
S18606002,Hexagon bolt with flange M6,MY23 MY24
2801100Y0210,Front auxiliary frame assy,MY23 MY22 MY22.5
2801100Y0211,Front auxiliary frame assy,MY23
S18510001,Hexagon bolt with flange,MY23 MY22 MY22.5 MY24
2904100Y0210,Front swing arm assembly,MY23 MY22 MY22.5 MY24
2906101Y0210,Front stabilizer bar,MY23 MY22 MY22.5 MY24
2906102-Y01,Stabilizer bar bushing,MY23 MY22 MY22.5 MY24
2906103Y0210,Stabilizer bar mounting bracket,MY23 MY22 MY22.5 MY24
2906105-Y01,Stabilizer bar end bushing,MY23 MY22 MY22.5 MY24
2906106Y0210,?12 large gasket,MY23 MY24
2906107Y0210,?16 large gasket,MY23 MY24
S33110001,Prevailing torque type all-metal hexagon nuts with flange,MY23 MY22 MY22.5 MY24
S33112001,Prevailing torque type all-metal hexagon nuts with flange,MY23 MY22 MY22.5 MY24
S18510006,Hexagon bolt with flange,MY23 MY22 MY22.5 MY24
2904101Y0210,Front left shock absorber assembly,MY23 MY24
2904102Y0210,Front right shock absorber assembly,MY23 MY24
3501101-Y01,Front left brake with steering knuckle assy,MY23 MY22 MY22.5
3501111-Y01,Front brake disc,MY23 MY22 MY22.5
3501112-Y01,Left steering knuckle,MY23 MY22 MY22.5
3501113-Y01,Left brake caliper assy,MY23 MY22 MY22.5
3501118-Y01,Gear ring component,MY23 MY22 MY22.5
3501119-Y01,Bearing limit bolts,MY23 MY22 MY22.5
3501120-Y01,Brake lining,MY23 MY22 MY22.5
3501115-Y01,Bracket mounting bolt,MY23 MY22 MY22.5
3501102-Y01,Front right brake with steering knuckle assy,MY23 MY22 MY22.5
3501122-Y01,Right steering knuckle,MY23 MY22 MY22.5
3501123-Y01,Right brake caliper assy,MY23 MY22 MY22.5
S18510005,Hexagon bolt with flange,MY23 MY22 MY22.5 MY24
S18512001,Hexagon bolt with flange,MY23 MY22 MY22.5 MY24
S32008002,Hexagon nut with flange,MY23 MY22.5 MY24
2912100Y0210,Rear drive axle assy,MY23
2912111Y0210,Axle tube,MY23
2912112Y0210,Final drive assy,MY23
2912113-Y01,Brake caliper-left,MY23 MY22 MY22.5
2912114-Y01,Brake caliper-right,MY23 MY22 MY22.5
2912129-Y01,Mounting bolt bracket ,MY23 MY22 MY22.5
2912115-Y01,Brake lining,MY23 MY22 MY22.5
2912116-Y01,Rear brake disc,MY23 MY22 MY22.5
2912119Y0210,Nut filler plug,MY23
2912120Y0210,Nut?drain plug,MY23
2912121-Y01,Vent valve,MY23 MY22 MY22.5
2912123-Y01,Left halfaxle,MY23 MY22 MY22.5
2912124-Y01,Right halfaxle,MY23 MY22 MY22.5
2912125-Y01,Oil seal for half shaft,MY23 MY22 MY22.5
2912126Y0210,Oil seal input shaft,MY23
2912127-Y01,Circlip for hole,MY23 MY22 MY22.5
2912128-Y01,Mudguard,MY23 MY22 MY22.5
2912118-Y01,Locking nut brake disc,MY23 MY22 MY22.5
Q5004036,Locking pin,MY23 MY22 MY22.5
2914300Y0210,Thrust rod assy,MY23
S18512004,Hexagon bolt with flange,MY23 MY22 MY22.5 MY24
S18608003,Hexagon bolt with flange,MY23 MY24
2912017Y0210,Motor mounting bracket,MY23 MY24
2912130-Y01,Hexagon nut with flange,MY23 MY22 MY22.5
2912131-Y01,Hexagon bolt with flange,MY23 MY22 MY22.5
2915100Y0210,Rear shock absorber,MY23 MY24
S34012001,Hexagon nuts style 1,MY23 MY22 MY22.5
S40212002,Large gasket,MY23 MY22 MY22.5 MY24
S40312001,Spring washer,MY23 MY22 MY22.5
2912011Y0210,Rear coil spring,MY23 MY24
2912012Y0210,Upper mounting seat of rear spring,MY23 MY22 MY22.5 MY24
2912013Y0210,Rear buffer block,MY23 MY22 MY22.5 MY24
2914200Y0210,Rear balance bar,MY23 MY24
S18512003,Hexagon bolt with flange,MY23 MY22 MY22.5 MY24
Q218B0810,Hexagon socket head cap screws,MY23 MY22 MY22.5
2906108Y0210,?12 large gasket,MY23 MY22 MY22.5
3100100-Y01,14 steel wheel assy,MY23 MY22 MY22.5
3100101-Y01,Tire (155/65-R14),MY23 MY22 MY22.5
3100106-Y01,14 steel wheel,MY23 MY22 MY22.5
3100102-Y01,Inflating valve,MY23 MY22 MY22.5
3106107Y0240,Wheel nut (steel wheel),MY23 MY22 MY22.5 MY24
5306163Y0210,Tire label - 14 ,MY23
3100104-Y01,Trim cap of wheel rim,MY23 MY22 MY22.5 MY24
3100120-Y01,Steel wheel rim trim cap assy,MY23 MY22 MY22.5
3400101-Y01,Steering gear with tie rod assembly,MY23 MY22 MY22.5
3400101Y0210A,Steering gear with tie rod assembly,MY23
3400101Y0210B,Steering gear with tie rod assembly,MY23
3400111-Y01,Steering gear body with inner tie rod,MY23 MY22 MY22.5
3400118-Y01,Buckle bracket,MY23 MY22 MY22.5
3400113-Y01,Steering wheel ball head,MY23 MY22 MY22.5
3400102-Y01,Steering lower shaft assy,MY23 MY22 MY22.5
3400102Y0210,Steering lower shaft assy,MY23
3400103-Y01,Steering column assembly,MY23 MY22 MY22.5
3400103Y0210,Steering column assembly,MY23
3400134-Y01,Steering wheel body,MY23 MY22 MY22.5
S18608009,Hexagon bolt with flange,MY23 MY22 MY22.5 MY24
S18608005,Hexagon bolt with flange,MY23 MY22 MY22.5
Q1860870TF36Y,Hexagon nut with flange,MY23
S38312001,Hexagon slotted nuts style 2,MY23 MY22 MY22.5
S50032001,Split pin,MY23 MY22 MY22.5
S18510004,Hexagon bolt with flange,MY23
S18512002,Hexagon bolt with flange,MY23 MY24
3400135-Y01,Horn hood,MY23 MY22 MY22.5
3400123-Y01,Mechanical steering column,MY23 MY22 MY22.5
3400124-Y01,Universal joint steering column ,MY23 MY22 MY22.5
3400125-Y01,Prevailing torque type all-metal hexagon nuts with flange,MY23 MY22 MY22.5
3400126-Y01,Hexagon head bolt,MY23 MY22 MY22.5
3400132-Y01,Steering lower axle,MY23 MY22 MY22.5
3400108-Y01,Lower shaft shield steering column,MY23 MY22 MY22.5
3400108Y0210,Lower shaft shield steering column,MY23 MY24
3400104-Y01,Steering wheel assembly,MY23 MY22 MY22.5
3400106-Y01,Electric power steering column (EPS),MY23
3400106Y0210,Electric power steering column (EPS),MY23 MY24
3400141-Y01,Prevailing torque type all-metal hexagon nuts with flange,MY23
3400142-Y01,Universal joint steering column,MY23
3400143-Y01,Hexagon head bolt,MY23
3400144-Y01,Controller bracket,MY23
3400145-Y01,Controller,MY23
Q146B0612,Hexagon head bolt spring washer and plain washer assy,MY23
3400146-Y01,Motor,MY23
3400147-Y01,Hexagon bolt with flange,MY23
3400148-Y01,Electric steering column body,MY23
S18606003,Hexagon bolt with flange,MY23 MY22 MY22.5 MY24
3508101-Y01,Parking pedal,MY23 MY22 MY22.5
S32008001,hexagon nut with flange,MY23 MY22 MY22.5
3508102Y0210,Front section parking cable,MY23
3508103Y0210,Left parking cable,MY23
3508104Y0210,Right parking cable,MY23
3506048Y0210,Spring retainer ring parking wire-drawing,MY23
S50108001,Locking pin,MY23 MY22 MY22.5 MY24
S18406003,Hexagon bolt with flange,MY23 MY22 MY22.5
3540103Y0211,Electronic vacuum pump,MY23 MY24
3540104Y0211,Vent hose electronic vacuum pump,MY23
Q402B06,gasket,MY23 MY22 MY22.5
3540102Y0211,vacuum tank,MY23 MY24
3540108Y0211,Vacuum tank bracket,MY23
Q1840645,Hexagon bolt with flange,MY23
3540106Y0210,Vacuum sensor,MY23 MY24
3540105Y0210,vacuum hose,MY23
3540101Y0210,Vacuum booster,MY23 MY24
S51008001,Axis pin,MY23 MY22 MY24
3504101Y0205,Brake pedal assy,MY23
Q1840820,Hexagon bolt with flange,MY23 MY22 MY22.5
3506101Y0210,Master cylinder to ABS pipe (1st chamber),MY23
3506102Y0210,Master cylinder to ABS pipe (2nd chamber),MY23
3506109Y0210,Front left brake pipe,MY23
3506111Y0210,Front right brake pipe,MY23
3506115Y0210,Front section rear left brake pipe,MY23
3506114Y0210,Front section rear right brake pipe,MY23
3506122Y0210,Rear section rear left brake pipe,MY23
3506121Y0210,Rear section rear right brake pipe,MY23
3506113Y0210,Double-hole pipe clip,MY23 MY22 MY22.5
3506116Y0210,Single hole pipe clip,MY23 MY22 MY22.5
3550300-Y01,Front wheel speed sensor,MY23 MY22 MY22.5
3550302-Y01,Front wheel speed sensor bracket,MY23 MY22 MY22.5
S32006003,hexagon nut with flange,MY23 MY22 MY22.5 MY24
3550400-Y01,Rear wheel speed sensor,MY23 MY22 MY22.5
3506104Y0210,Front brake hose,MY23
3506112Y0210,rear brake hose,MY23
3506106Y0210,Punched bolts,MY23 MY24
3506107Y0210,Sealing washer,MY23 MY24
3506105Y0210,Spring retainer ring brake hose,MY23 MY24
3550101-Y01,ABS controller,MY23 MY22 MY22.5
3550111-Y01,Mounting sleeve ABS controller,MY23 MY22 MY22.5
3926010-Y01,Warning triangles,MY23 MY22 MY22.5 MY24
3926020-Y01,Reflective vest,MY23 MY24
2101020Y0210,Power battery module,MY23 MY24
2101024Y0210,Module cover plate 1,MY23 MY24
2101025Y0210,Module cover plate 2,MY23 MY24
2101026Y0210,Fixing plate wiring harness,MY23 MY24
2101037Y0210,Handle battery pack,MY23 MY24
2101038Y0210,Fixing sheet metal handle,MY23 MY24
2101039Y0210,Y02 heating film,MY23 MY24
2101040Y0210,Seal ring,MY23 MY24
2101041Y0210,Flexible connection positive terminal,MY23 MY24
2101042Y0210,Flexible connection negative terminal,MY23 MY24
2101043Y0210,Switching hard copper bar negative terminal,MY23 MY24
2101011Y0210,BSU,MY23 MY24
2101049Y0210-Z001,Quick wiring harness assy,MY23 MY24
2101044Y0210,Bottom hole 3.7 plastic rivets BNJ-0005B,MY23 MY24
2101045Y0210,Model: VV-P124-00-KS1 breather valve,MY23 MY24
2101055Y0210,M6*12 Outer hexagon Dacromet bolts with flange (with  nylon adhesive),MY23 MY24
2101056Y0210,M5*30 Outer hexagon Dacromet bolts single coil lock washer and plain washer assemblies,MY23 MY24
2101057Y0210,Prevailing torque type hexagon Dacromet nuts with flange (non-metallic insert),MY23 MY24
2101058Y0210,M4*10 Hexagon socket button head Dacromet bolt single coil lock washer and plain washer assemblies,MY23 MY24
2101060Y0210,M4*20 Outer hexagon Dacromet bolts single coil lock washer and plain washer assemblies,MY23 MY24
2101061Y0210,M3*10 Hexagon socket button head Dacromet bolt single coil lock washer and plain washer assemblies,MY23 MY24
2101064Y0210,M4*10 Countersunk socket head flat head screw black dacromet,MY23 MY24
2101046Y0210,BNJ-0181 Rivet tie 5.5 hole,MY23 MY24
2103010Y0210,Drive motor,MY23
S18408004,Hexagon bolt with flange,MY23 MY22 MY22.5 MY24
4002616Y0210,M6 Bonding Bolt (FT thread),MY23 MY24
2103020Y0210,Phase line pressing plate,MY23
S14606004,Hexagon head bolt spring washer and plain washer assy,MY23 MY24
S32006002,Hexagon nut with flange,MY23
2103030Y0210,Grounding wire,MY23
2108010Y0210,Vehicle control unit?VBU?,MY23
2142010Y0210,Motor controller,MY23 MY24
2142040Y0210,MCU grounding wire,MY23
7925040-Y01,T-BOX?4G?,MY23 MY22 MY22.5
7925040Y0210,T-BOX?4G?,MY23 MY24
2101100Y0210-Z002,Power Battery Box device,MY23
2101019Y0210,Battery positive wire harness,MY23
210101AY0210,Battery negative wiring harness,MY23
210101CY0210,Battery box communication wiring harness,MY23 MY24
210101H-Y01,Module connecting line,MY23 MY22 MY22.5 MY24
210101B-Y01,Battery box fast-plug,MY23 MY22 MY22.5 MY24
2101013Y0210,Anti-friction bushing,MY23 MY24
2109010Y0210,High-voltage box assy,MY23
2109011Y0210,High-voltage box casing assy,MY23
2109015Y0210,150A relay,MY23
2109016Y0210,60A relay,MY23
2109017-Y01,20A relay,MY23 MY22 MY22.5 MY24
2109211Y0210,40A relay,MY23
2109018-Y01,300A slow-blow fuse,MY23 MY22 MY22.5
2109111-Y01,20A slow-blow fuse,MY23 MY22 MY22.5
2109112-Y01,75?100Wprecharge resistence,MY23 MY22 MY22.5
2109113Y0210,Communications wiring harness high-voltage box,MY23
2109119-Y01,50A slow-blow fuse,MY23 MY22 MY22.5
S14606005,Hexagon bolt spring washer and plain washer assy M6 16,MY23 MY22 MY22.5
2101054Y0210,High-voltage warning sign,MY23 MY24
2109119Y0205,Splitter,MY23 MY22.5
2101012Y0210,High voltage acquisition box,MY23 MY24
2105010Y0210,Positive wiring harness motor controller,MY23 MY24
2105020Y0210,Negative wiring harness motor controller,MY23 MY24
2105030Y0210,High voltage wiring harness auxiliary system,MY23
2105060-Y01,Dual-head hoop line card(19mm),MY23 MY22 MY22.5 MY24
2105050Y0210,Change-over wiring harness power-off switch,MY23
2107060Y0200,OBC and DCDC two-in-one assy,MY23 MY22.5
S18408006,Hexagon bolt with flange,MY23 MY22.5 MY24
S18608002,Hexagon bolt with flange,MY23 MY22 MY22.5
2107070Y0200,Connecting bracket OBC and DCDC two-in-one assy,MY23 MY22.5
2107020Y0210,Charging socket (EN),MY23
2107030-Y01,EV Charger (EN),MY23 MY22 MY22.5 MY24
2107040-Y01,Double-head charger (EN),MY23 MY22 MY22.5 MY24
2107050-Y01,Charging gun bag,MY23 MY22 MY22.5 MY24
3601010Y0210,Body control module?BCM?,MY23
Q1860620,Hexagon bolt with flange,MY23 MY22 MY22.5
3704010Y0210,Passive start switch,MY23 MY24
3791020Y0210,PE switch (with antenna),MY23 MY24
3601030Y0210,start antenna,MY23 MY24
S27348002,Cross recessed large round head tapping screw 4.8 16,MY23 MY22 MY22.5 MY24
ZH1210,Plastic nut seat,MY23 MY22 MY22.5 MY24
3791011Y0210,Remote controln chip,MY23
3703010-Y01,12V Battery,MY23 MY22 MY22.5
3721010Y0210,High pitch horn,MY23
3721020Y0210,low speed alarm (AVAS),MY23
S14606003,Hexagon bolt spring washer and plain washer assy,MY23 MY24
3736010-Y01,Power off switch,MY23 MY22 MY22.5
3736011-Y01,Power-off switch shield,MY23 MY22
3746010-Y01,Windows regulator control switch,MY23 MY22 MY22.5
